param N = 13;

set Meals := Brunch Dinner;
set Restaurants := 3 8 11;
set Destinations := 0 1 2 4 5 6 7 9 10 12;

param travel_time # change to 0 start
    :   0   1   2   3   4   5   6   7   8   9   10  11 12:=
0	0	70	50	50	50	50	45	55	45	50	50	55	0
1	80	0	40	40	40	40	40	40	40	40	40	40	80
2	50	30	0	4	1	2	5	5	4	4	4	14	50
3	50	28	3	0	3	3	6	3	5	1	2	14	50
4	50	28	1	4	0	2	6	5	5	4	4	14	50
5	50	28	2	4	2	0	6	6	5	4	3	12	50
6	50	35	8	8	8	7	0	8	4	8	9	14	50
7	55	30	5	3	5	6	7	0	7	3	5	18	55
8	50	35	8	7	8	6	3	9	0	8	9	14	50
9	50	28	3	1	3	4	6	3	6	0	3	16	50
10	50	28	3	4	3	4	8	5	7	3	0	14	50
11	60	35	14	16	16	14	16	18	14	16	16	0	60
12	0	70	50	50	50	50	45	55	45	50	50	55	0;

param duration :=
0	0
1	120
2	60
3	60
4	60
5	180
6	120
7	60
8	180
9	60
10	180
11	60
12	0;

param happiness := 
0	0
1	5
2	3.333333333
3	7.666666667
4	6
5	2.333333333
6	6
7	6.333333333
8	6
9	8
10	4.333333333
11	8
12	0;

param anger_coef := 1;
param total_time := 840;  # 14 hours. We leave Mudd at 8 a.m. and get back at 10 p.m.
param meal_time :=
    Brunch 180  # Brunch at 11 a.m.
    Dinner 540; # Dinner at 5 p.m.
param M := 9999;
